Player Name,Player ID,Total Points
"Tatum, Jayson",1628369,1987
"Holiday, Jrue",201950,860
"Brown, Jaylen",1627759,0
"Porziņģis, Kristaps",204001,1145
"White, Derrick",1628401,1107
"Pritchard, Payton",1630202,787
"Brissett, Oshae",1629052,0
"Peterson, Drew",1641809,0
"Davison, JD",1631120,16
"Tillman, Xavier",1630214,284
"Walsh, Jordan",1641775,15
"Hauser, Sam",1630573,712
"Kornet, Luke",1628436,334
"Horford, Al",201143,562
"Springer, Jaden",1630531,163
"Mykhailiuk, Svi",1629004,162
"Queta, Neemias",1629674,154
"Gilgeous-Alexander, Shai",1628983,2254
"Giddey, Josh",1630581,986
"Dort, Luguentz",1629652,860
"Williams, Jaylin",1631119,276
"Holmgren, Chet",1631096,1357
"Williams, Jalen",1631114,1355
"Joe, Isaiah",1630198,636
"Waters III, Lindy",1630322,137
"Dieng, Ousmane",1631172,133
"Flagler, Adam",1641745,3
"Biyombo, Bismack",202687,174
"Johnson, Keyontae",1641749,11
"Wiggins, Aaron",1630598,542
"Wallace, Cason",1641717,561
"Sarr, Olivier",1630846,34
"Hayward, Gordon",202330,500
"Williams, Kenrich",1629026,325
"Muscala, Mike",203488,157
"Braun, Christian",1631128,600
"Porter Jr., Michael",1629008,1356
"Strawther, Julian",1631124,227
"Tyson, Hunter",1641816,20
"Caldwell-Pope, Kentavious",203484,0
"Jordan, DeAndre",201599,142
"Jackson, Reggie",202704,0
"Watson, Peyton",1631212,532
"Holiday, Justin",203200,0
"Key, Braxton",1630296,0
"Jokić, Nikola",203999,2085
"Gillespie, Collin",1631221,0
"Nnaji, Zeke",1630192,186
"Pickett, Jalen",1629618,42
"Murray, Jamal",1627750,1250
"Huff, Jay",1630643,23
"Gordon, Aaron",203932,1013
"DiVincenzo, Donte",1628978,1259
"Toppin, Jacob",1631210,13
"McBride, Miles",1630540,562
"Hart, Josh",1628404,761
"Brown Jr., Charlie",1629718,6
"Achiuwa, Precious",1630173,565
"Anunoby, OG",1628384,733
"Jeffries, DaQuan",1629610,14
"Brunson, Jalen",1628973,2212
"Milton, Shake",1629003,216
"Burks, Alec",202692,689
